date,open,high,low,close,volume
03/10/07,21.4619,21.5631,21.1585,21.2759,37633900
04/10/07,21.3608,21.5053,21.2669,21.4619,37868000
05/10/07,21.5992,21.6642,21.4764,21.5558,45012300
08/10/07,21.4258,21.5631,21.3825,21.5558,30265400
09/10/07,21.6931,21.9531,21.6714,21.7436,63603100
10/10/07,21.701,21.9387,21.6931,21.8376,32251500
11/10/07,21.8917,22.1265,21.5197,21.6064,50788400
12/10/07,21.6931,21.9604,21.6353,21.7942,31121100
15/10/07,21.7364,21.9098,21.6714,21.7003,47150500
16/10/07,21.8448,22.0904,21.8376,21.9026,56286200
17/10/07,22.2132,22.5599,22.141,22.4516,86092400
18/10/07,22.5527,22.5599,22.1265,22.5094,49208600
19/10/07,22.4588,22.4588,21.7509,21.7942,75200200
22/10/07,21.7581,22.1771,21.7581,22.0398,58785100
23/10/07,22.2132,22.4805,22.1843,22.3216,49956200
24/10/07,22.2854,22.6105,22.0326,22.5744,77979200
25/10/07,22.8056,23.2751,22.7478,23.109,169588700
26/10/07,26.0129,26.0274,24.9655,25.305,288121200
29/10/07,25.175,25.4928,24.886,24.9727,114655600
30/10/07,24.8282,25.7095,24.8138,25.6951,107297300
31/10/07,25.659,26.7281,25.6517,26.5908,185635800
01/11/07,26.3886,27.0821,26.2658,26.7714,152078800
02/11/07,26.887,27.0893,26.3091,26.7714,96389800
05/11/07,26.5547,26.8003,26.4608,26.533,75485400
06/11/07,26.4319,26.4825,25.9118,26.3019,100966700
07/11/07,26.0346,26.1213,25.6084,25.659,74897800
08/11/07,25.7168,25.9335,24.8499,25.0955,133742400
09/11/07,24.691,24.951,24.3081,24.3659,125136900
12/11/07,24.0697,24.3515,23.853,24.1131,84865200
13/11/07,24.306,25.1249,24.19,24.9727,104311500
14/11/07,25.0886,25.1829,24.4582,24.5886,84063100
15/11/07,24.4654,24.7118,24.3132,24.4654,64014100
16/11/07,24.5379,24.8278,24.4292,24.7046,71113800
19/11/07,24.6104,24.8133,24.5451,24.6104,63026200
20/11/07,24.806,25.3423,24.7118,25.0597,100009400
21/11/07,24.9292,25.1684,24.7698,24.806,89518700
23/11/07,24.9002,24.9582,24.4292,24.7191,33467200
26/11/07,24.7046,24.9075,23.8639,23.8929,80335000
27/11/07,24.1103,24.3495,23.6828,23.9581,84178400
28/11/07,24.19,24.5596,23.8422,24.4219,88585000
29/11/07,24.335,24.5886,24.1393,24.3422,53633600
30/11/07,24.5814,24.7263,24.0523,24.3495,71027800
03/12/07,24.277,24.3785,23.6828,23.8567,61770600
04/12/07,23.7262,24.0886,23.6465,23.748,54801500
05/12/07,24.0161,25.0162,23.9364,24.748,84894700
06/12/07,24.8278,25.0814,24.5451,25.0379,49209700
07/12/07,25.0814,25.1466,24.7988,25.0234,40771000
10/12/07,25.1031,25.3278,24.9799,25.1901,36083500
11/12/07,25.1684,25.3568,24.5886,24.7118,55070700
12/12/07,25.0814,25.4293,24.5886,24.9799,63345400
13/12/07,24.9872,25.6901,24.8423,25.5235,73913200
14/12/07,25.4003,25.9728,25.3713,25.5887,71126200
17/12/07,25.3858,25.4582,24.9002,24.922,58121200
18/12/07,25.1031,25.364,24.7915,25.1756,52791800
19/12/07,25.1394,25.4655,24.9147,25.2118,58469100
20/12/07,25.5742,25.9365,25.422,25.7409,59345000
21/12/07,26.0162,26.134,25.9075,26.1322,83240500
24/12/07,26.1829,26.6105,26.125,26.509,29622600
26/12/07,26.3858,26.5525,26.2771,26.5308,30252400
27/12/07,26.3424,26.4874,26.0452,26.067,33311100
28/12/07,26.1612,26.2554,25.8496,26.1757,33447200
31/12/07,26.0162,26.0815,25.7409,25.7988,35229700
02/01/08,25.9365,26.0597,25.364,25.5235,63004200
03/01/08,25.5235,25.8351,25.2626,25.6322,49599600
04/01/08,25.5017,25.509,24.7046,24.9147,72090800
07/01/08,25.0379,25.2191,24.8205,25.0814,80164300
08/01/08,25.1539,25.1539,24.2045,24.2408,79148300
09/01/08,24.1755,25.0307,24.1683,24.9582,74305500
10/01/08,24.893,25.0017,24.4799,24.8785,72446000
